"stock","ridge","lasso","en1","en2","adlasso","ridge_dcsis","lasso_dcsis","en1_dcsis","en2_dcsis","adlasso_dcsis"
"MASCO",0.000336074251210924,0.000428194824968263,0.000424948256895771,0.000416561159519029,0,NA,NA,NA,NA,NA
"MCCORMICK & COMPANY NV.",0,0,0,0,0,NA,NA,NA,NA,NA
"MID-AMER.APT COMMUNITIES",0.00201277030670828,0.00114871549345087,0.00116841519172706,0.00114313326768618,0.000595546137124609,0.00651569981636168,0.00512677280144246,0.00507910379154343,0.00505994526635436,0.00626232341547041
"NORDSON",0,0,0,0,0,0,0,0,0,0
"NORTHERN TRUST",0,0,0,0,0,NA,NA,NA,NA,NA
"OMNICOM GROUP",0,0,0,0,0,0.000747384828664036,0.000312006655908752,0.000321163363407981,0.000331931655536188,0
"PACKAGING CORP.OF AM.",0,0,0,0,0,NA,NA,NA,NA,NA
"POOL",0,0,0,0,0,0,0,0,0,0
"PRINCIPAL FINL.GP.",0.00274875312747849,0.00230225298280475,0.00230336394522472,0.00230459228868448,0.0013001814989856,NA,NA,NA,NA,NA
"REGIONS FINL.NEW",0.000301286986033774,0,0,0,0,0,NA,NA,NA,0
"SEAGATE TECHNOLOGY HOLDINGS",0,0,0,0,0,0.000279957280603351,0,0,0,0
"SKYWORKS SOLUTIONS",0,0,0,0,0,0.0029119549750722,0.000412522458941262,0.000700733485784855,0.000836406381789791,0.00117901858934221
"SNAP-ON",0,0,0,0,0,0.00139543021041575,0,0,0,0
"SYNCHRONY FINANCIAL",0,0,0,0,0,0.00995031247795644,0.0104651348730935,0.0104460370111393,0.0104211501006755,0.0103386140237299
"TERADYNE (XSC)",0.00188224827482494,0.000957437653659203,0.000955977839763059,0.000958004981434939,0,0,0,0,0,0
"TEXTRON",9.24655693868599e-05,0,0,0,0,0.001062291884516,0,0,0,0
"TRIMBLE",0,0,0,0,0,0.00272039141139465,0.00213302875490948,0.00201402398368995,0.00203157958076008,0.00332808431022574
"TYLER TECHNOLOGIES",0.00266511965961181,0.00232262920267344,0.00231954795412999,0.002315160782037,0.00280614550670705,NA,NA,NA,NA,NA
"TYSON FOODS 'A'",0,0,0,0,0,NA,NA,NA,NA,NA
"UNITED AIRLINES HOLDINGS",0,0,0,0,0,NA,NA,NA,NA,NA
"VENTAS",0,0,0,0,0,NA,NA,NA,NA,NA
"WALGREENS BOOTS ALLIANCE",0,0,0,0,0,NA,NA,NA,NA,NA
"AES",0,0,0,0,0,NA,NA,NA,NA,NA
